Date,H16
2014-10-18,0.13
2014-10-19,0.14
2014-10-20,0.24
2014-10-21,0.2
2014-10-22,0.32
2014-10-23,0.18
2014-10-24,0.22
2014-10-25,0.21
2014-10-26,0.16
2014-10-27,0.41
2014-10-28,0.2
2014-10-29,0.22
2014-10-30,0.2
2014-10-31,0.22
2014-11-01,0.14
2014-11-02,0.15
2014-11-03,0.21
2014-11-04,0.23
2014-11-05,0.24
2014-11-06,0.3
2014-11-07,0.23
2014-11-08,0.19
2014-11-09,0.18
2014-11-10,0.44
2014-11-11,0.34
2014-11-12,0.28
2014-11-13,0.26
2014-11-14,0.24
2014-11-15,0.19
2014-11-16,0.24
2014-11-17,0.26
2014-11-18,0.28
2014-11-19,0.31
2014-11-20,0.25
2014-11-21,0.21
2014-11-22,0.25
2014-11-23,0.22
2014-11-24,0.19
2014-11-25,0.28
2014-11-26,0.48
2014-11-27,0.27
2014-11-28,0.3
2014-11-29,0.22
2014-11-30,0.2
2014-12-01,0.25
2014-12-02,0.48
2014-12-03,0.29
2014-12-04,0.24
2014-12-05,0.47
2014-12-06,0.19
2014-12-07,0.26
2014-12-08,0.46
2014-12-09,0.3
2014-12-10,0.22
2014-12-11,0.25
2014-12-12,0.3
2014-12-13,0.23
2014-12-14,0.22
2014-12-15,0.27
2014-12-16,0.39
2014-12-17,0.23
2014-12-18,0.25
2014-12-19,0.22
2014-12-20,0.44
2014-12-21,0.19
2014-12-22,0.21
2014-12-23,0.28
2014-12-24,0.32
2014-12-25,0.17
2014-12-26,0.27
2014-12-27,0.21
2014-12-28,0.2
2014-12-29,0.2
2014-12-30,0.19
2014-12-31,0.2
