Hamilton Downtown (29000) ,,,,,,,,,,,,,,,,,,,,,,,,,,
Hourly Nitrogen Dioxide [NO2] Concentrations ,,,,,,,,,,,,,,,,,,,,,,,,,,
From,January 1 2014 ,,,,,,,,,,,,,,,,,,,,,,,,,
To,December 31 2014 ,,,,,,,,,,,,,,,,,,,,,,,,,
Station,Hamilton Downtown (29000),,,,,,,,,,,,,,,,,,,,,,,,,
Address,Elgin St./kelly St.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.257778,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.861667,,,,,,,,,,,,,,,,,,,,,,,,,
Air Intake Height,4 metres ,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,90 metres ,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Nitrogen Dioxide [NO2],,,,,,,,,,,,,,,,,,,,,,,,,
Unit, parts per billion (ppb),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, -999 for missing data. 9999 for invalid data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29000,Nitrogen Dioxide,2014-02-01,17,15,15,12,16,14,14,17,21,23,19,18,20,21,24,29,33,29,34,33,27,13,18,17
29000,Nitrogen Dioxide,2014-02-02,17,15,17,16,13,10,8,8,9,8,7,9,10,10,8,7,8,10,10,9,8,11,12,14
29000,Nitrogen Dioxide,2014-02-03,14,12,11,13,15,19,27,32,32,24,16,10,9,10,9,11,12,15,16,20,21,20,23,25
29000,Nitrogen Dioxide,2014-02-04,34,41,42,45,42,41,39,41,43,37,31,17,13,15,16,17,39,32,26,24,21,14,16,24
29000,Nitrogen Dioxide,2014-02-05,22,21,21,16,10,22,27,25,17,21,20,18,18,13,8,9,8,8,11,12,10,13,19,16
29000,Nitrogen Dioxide,2014-02-06,22,27,22,27,38,39,38,31,28,16,14,9,8,9,11,11,13,16,15,14,12,11,11,12
29000,Nitrogen Dioxide,2014-02-07,14,10,9,11,13,14,17,14,13,12,10,9,8,9,9,9,10,13,14,15,15,14,15,16
29000,Nitrogen Dioxide,2014-02-08,16,15,15,14,14,20,22,25,24,18,14,13,12,13,15,13,14,17,19,22,23,25,21,22
29000,Nitrogen Dioxide,2014-02-09,22,36,35,44,48,49,46,43,40,32,33,16,11,10,14,19,25,24,23,24,19,18,19,17
29000,Nitrogen Dioxide,2014-02-10,21,20,22,25,30,28,25,30,29,24,19,9,9,10,9,9,13,12,18,18,21,19,16,16
29000,Nitrogen Dioxide,2014-02-11,18,19,17,15,21,17,17,21,21,19,12,10,8,9,7,8,10,14,19,23,19,28,42,54
29000,Nitrogen Dioxide,2014-02-12,49,44,40,40,43,47,47,46,45,41,28,9,10,10,15,11,12,20,32,46,54,55,53,55
29000,Nitrogen Dioxide,2014-02-13,56,55,61,59,56,56,54,61,67,49,42,45,17,19,16,18,17,18,25,25,23,28,35,34
29000,Nitrogen Dioxide,2014-02-14,37,39,38,35,34,35,35,40,34,24,17,16,16,15,14,17,18,21,22,21,21,18,18,16
29000,Nitrogen Dioxide,2014-02-15,15,13,14,17,14,12,10,9,11,9,7,6,6,6,7,8,8,11,13,11,12,12,10,12
29000,Nitrogen Dioxide,2014-02-16,12,12,14,20,23,34,31,32,18,16,10,7,7,7,10,8,9,14,12,12,9,7,8,12
29000,Nitrogen Dioxide,2014-02-17,13,17,19,18,21,29,32,33,22,19,20,21,18,16,13,11,16,17,11,13,14,12,11,15
29000,Nitrogen Dioxide,2014-02-18,20,27,26,20,12,20,20,17,14,15,14,12,9,10,10,11,14,16,17,21,21,32,49,30
29000,Nitrogen Dioxide,2014-02-19,29,42,48,44,53,57,65,64,58,54,21,15,14,14,16,15,13,13,14,17,17,14,13,15
29000,Nitrogen Dioxide,2014-02-20,15,12,12,15,19,22,28,45,45,44,40,33,30,28,26,30,25,24,25,22,26,26,25,17
29000,Nitrogen Dioxide,2014-02-21,22,15,25,22,22,23,31,13,11,9,8,7,6,7,7,7,7,7,7,7,7,7,6,6
29000,Nitrogen Dioxide,2014-02-22,7,6,6,6,6,6,7,8,6,6,6,6,6,6,6,7,8,9,9,9,8,8,9,9
29000,Nitrogen Dioxide,2014-02-23,10,9,9,9,11,12,14,12,8,6,6,6,7,6,6,6,7,8,10,12,12,12,8,6
29000,Nitrogen Dioxide,2014-02-24,7,6,5,7,9,12,11,10,11,9,9,9999,9999,7,7,9,10,11,9,11,11,18,11,9
29000,Nitrogen Dioxide,2014-02-25,9,8,9,11,9,10,12,12,12,9,6,6,5,6,6,8,9,13,15,16,13,11,9,7
29000,Nitrogen Dioxide,2014-02-26,8,6,8,9,10,11,10,12,10,7,7,6,7,6,6,9999,9999,9999,9999,9999,9999,9999,9999,9999
29000,Nitrogen Dioxide,2014-02-27,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
29000,Nitrogen Dioxide,2014-02-28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,12,10,9,8,9,8,9,13,13,17,16,15,16
29000,Nitrogen Dioxide,2014-03-01,15,16,17,21,25,25,33,36,34,32,18,13,14,18,18,18,18,18,12,10,8,9,9,8
29000,Nitrogen Dioxide,2014-03-02,8,9,7,7,7,6,7,8,5,5,5,5,6,6,5,4,5,6,6,8,9,14,15,15
29000,Nitrogen Dioxide,2014-03-03,14,12,12,11,12,13,16,14,10,5,4,4,4,5,6,7,9,12,11,13,13,12,14,19
29000,Nitrogen Dioxide,2014-03-04,18,16,15,17,15,16,16,17,15,11,9,10,10,12,11,13,16,19,25,23,27,29,26,22
29000,Nitrogen Dioxide,2014-03-05,21,17,19,18,15,17,29,23,23,14,12,13,11,8,8,11,14,21,18,22,21,19,22,21
29000,Nitrogen Dioxide,2014-03-06,23,24,12,11,9,14,13,13,10,7,7,7,9,8,10,13,12,18,26,21,16,15,26,37
29000,Nitrogen Dioxide,2014-03-07,43,43,44,45,45,48,49,48,44,37,14,11,10,10,11,11,12,17,26,28,25,21,20,14
29000,Nitrogen Dioxide,2014-03-08,15,17,16,17,16,17,18,16,15,10,7,7,7,7,7,8,7,7,10,11,10,7,7,8
29000,Nitrogen Dioxide,2014-03-09,10,11,-999,-999,12,15,17,18,10,8,5,4,5,5,5,6,6,9,8,7,6,6,6,7
29000,Nitrogen Dioxide,2014-03-10,6,7,8,10,15,17,21,14,15,11,9,9,9,8,8,8,9,9,11,11,12,13,14,12
29000,Nitrogen Dioxide,2014-03-11,9,11,10,12,19,18,26,27,22,17,13,10,9,9,10,14,15,18,20,21,17,14,12,13
29000,Nitrogen Dioxide,2014-03-12,13,16,20,15,13,21,16,17,17,15,16,12,10,10,6,5,6,5,5,6,6,7,7,7
29000,Nitrogen Dioxide,2014-03-13,7,9,8,8,13,15,15,12,9,7,7,6,5,6,6,6,8,10,9,10,12,11,10,8
29000,Nitrogen Dioxide,2014-03-14,8,8,10,9,12,15,14,11,9,7,7,7,7,7,8,8,9,9,8,8,8,8,10,9
29000,Nitrogen Dioxide,2014-03-15,9,9,7,5,5,6,7,7,7,5,6,5,5,5,4,4,4,4,4,5,6,5,6,5
