Date,H16
2014-12-21,31
2014-12-22,26
2014-12-23,7
2014-12-24,5
2014-12-25,34
2014-12-26,22
2014-12-27,29
2014-12-28,25
2014-12-29,31
2014-12-30,32
2014-12-31,29
